Address,ROI,Win Rate,Frequency,Sharpe Ratio,Sortino Ratio,Omega Ratio,Median Volume,Median PnL,Sum PnL,Std Dev Negative Returns,Time Under Water,Pain Index,Cumulative ROI (Every Month),Cumulative ROI (Every 3 Months),Cumulative ROI (Every 6 Months)
0x487a2fd64096f90f19caa57b34b0714a2e8f6be7,0.10777096341009983,58.55263157894737,152,0.13686214563656676,3.2949380315230234,9.596275831727828,3293.3195170809595,3.92134704267135,9707.5471357372,1.8848975589406096,nan,45.378659114189524,"[0.23888080112997212, -10.42339181874624, 2.2698212275650604, -0.4983853730939618, 3.9155337737170655, 14.86136182824896, 96.35617732708937, 279.373747530333, 905.8373713107019, 901.7617024638926, 944.0143391767053]","[12.6932130463113, 23.639041100843194, 206.65661130408682, 248.90924801689962]","[10.945828054531894, 53.19846476734469]"
0xf06262c6ed502918992810dd8b4112885392eaf0,0.7919799251168256,68.51851851851852,54,0.15905121457655774,6.70485886283995,23.430430065907178,14389.633515590365,158.6561386219808,9433.80129549315,1.8867861978485532,1.0,79.53812358244963,"[7.480043091211187, 10.643083671226234, 11.494562716455746, 5.8460185885664835, 9.656630772879703, 637.1915288997978, 657.077090163088, 668.7184717875025, 677.7986190591357, 683.1342986901642]","[19.88556126329008, 25.221240894318516]",[5.335679631028438]
0xb09c48582db808c8043d0eb982b9610d79d9c0e1,0.21255649330803691,56.70926517571885,626,0.11129039369998144,0.14276494747155385,2.014020450280957,17189.29018638219,24.54584351315306,68925.75962855213,7.289343045993928,17.666666666666668,9.350876050172811,"[4.594466567587069, 5.5371362777701645, 96.33736106501823, 112.34434864062251, 281.55634752473475, 528.2594605945895, 517.7749683079983, 536.0207784815483, 541.4138522066806, 601.5879646987353, 658.8150082368144, 651.4548358417258]","[90.80022478724807, 337.5033378571029, 342.89641158223526, 335.5362391871466]","[246.70311306985482, 239.34294067476614]"
0x1d5ce91a9290d45cb8bd6fce3696d89fe7f58338,1.094611263985094,88.27586206896552,145,0.5966801075453909,0.624238997751254,6.100178687269902,39215.686262697,417.4628648700229,32391.215311442727,1.957696694018246,nan,2.0481169167884947,"[62.17371948263925, 87.62889335873798, 91.67040429240778, 97.38104415918755, 106.4841545642036, 118.73596986207163, 161.4281511423011, 177.20024021535954]","[4.041510933669804, 9.752150800449577, 18.855261205465624, 34.62735027852409]","[5.710639866779773, 21.48272893983824]"
0xdac51643888be5414f0272b9feef97edf723203a,0.014361871732090673,50.0,112,0.11429215619604247,0.22920749776399058,1.353370087069639,34068.13168780126,1.2422900758243691,10325.479217252487,0.5628126309823913,9.333333333333334,1.1286940342272496,"[-1.7963308255248567, -0.9404656644253049, 2.8956418905815333, 6.724178681954843, 14.448097984033513]","[3.8361075550068384, 11.560026857085509]",[7.72391930207867]
0x46ef2b2c7fa09329e909d4f85d1fe90c8873f8cd,0.13997560852278526,50.92592592592593,108,0.21174109794430795,0.5486867896773621,1.8609465977972182,97696.94851814922,41.40812982695757,63874.10084963402,0.9091530716676128,4.5,2.3558972965645992,"[11.285494932560253, 6.723094716243443, 12.46740209602137, 17.835734019402093, 17.8009753953512, 32.06393028383015, 33.55834878550945, 36.976656049083736, 53.87475026361043]","[5.744307379777927, 20.00726226825688, 36.905356482783574]","[14.262954888478951, 31.161049103005645]"
0x1470de04c1d42a13a950facf85cbdcecb86e98f0,0.09182971486411182,53.125,256,0.1568902877393873,0.7333792606529127,4.187343704745968,9497.61897531625,7.0110246424393345,16944.498083338884,1.8755020885949727,nan,8.766982041434979,"[114.8694773053411, 114.56131865293212, 132.24009596193108, 271.32694767987255, 319.0835850597614, 352.1163097822144]","[17.678777308998953, 50.71150203145195]",[33.032724722453]
0xf8f074511df0f272c360ce48f342184ef42a825f,-0.41969250088812876,29.805013927576603,359,-0.02327461635430244,-0.045510170929954054,0.9058639373896593,15297.089580847261,-39.87516885012389,7399.263032568619,2.1541264322416915,27.0,4.212084987511695,"[41.499565359475724, 32.2284373965103, 57.12573850553339, 64.63224373776968, 45.491419028167456, 34.515108914785955, 18.92331775320183, 2.075507206275713, 13.191969705579991, -10.873163477671122, -35.19444370684246]","[24.89730110902309, 13.920990995641588, -2.9268195512845274, -27.248099780455867]","[-10.976310113381501, -35.29759034255284]"
0x6bc9e333e04dce026b8d3328f78dd2ff536baa7a,0.5132822192902033,71.62162162162163,148,0.24221658919106662,0.22874663509140153,2.1485425268886393,193290.3877437465,840.7819910555595,9795.278206990657,2.001244777492896,nan,1.8899531628885815,"[2.515525030974393, 20.65018641804471, 54.34865231285913, 59.17858492053786, 69.69066725808312, 67.75114530916962]","[33.69846589481442, 31.758943945900906]",[-1.9395219489135118]
0x4188d6d3a476affd6781fd8d68d280e0d8ab774f,-0.14265029468607315,42.700729927007295,274,0.1378262254822457,0.35360949595748775,1.7476051539811193,19222.19852050495,-15.188637669298933,6479.175920157931,1.386859972430512,14.0,3.5581534218097066,"[-11.737435268320686, -7.614124058251687, -4.98224362936806, 3.575831286061243, -5.305715707908581, 5.7011426821174, 24.751456183720926, 57.25725456615758, 94.46849796850583, 104.28037941579666, 131.5983510637765, 134.37147849324663]","[2.6318804288836275, 13.638738818909609, 50.84998222125786, 53.62310965072798]","[11.00685839002598, 13.779985819496101]"
0xe549678a6a9bb10178583b3a2c60ff669118513e,0.9376135596739863,73.58490566037736,53,0.23307636337777002,0.2706091678607737,1.971003892947434,7811.637197410482,87.97861637009252,5859.93455435845,3.8207807009323806,10.0,4.436049503578399,"[4.912742543407486, 11.77450977724866, 14.552609414781141, 13.066073919645964, 19.736342790149806, 31.856959488839557, 49.41380669218802, 61.73693922353077, 54.7987291610642]","[4.912742543407486, 3.426207048272308, 20.98305425162077]",[-1.4865354951351777]
0x62d428bc7ae77d0acc7bbea9c497a945bf7f58b1,0.11422969451705269,56.060606060606055,66,-0.09792278908286797,-0.06761979794924396,0.39577003809679867,2605429.708330093,2883.447880948467,107990.90592544158,9.7121127411308,10.5,6.706621690072354,"[2.611598575106413, -43.34425268022582]",[-45.955851255332234],[]
0xe45feb6926643bd9095a604cf22a8bbd5320935d,0.41480057364419615,76.08695652173914,92,0.4046292970791489,0.6407559792179053,2.89974377741167,30078.942307692305,101.48703715424278,5761.187364022726,0.6094257523805987,1.0,0.9650640661614165,"[10.882226702117203, 13.25857238494773, 33.313716509873714, 35.925373914906]",[20.055144124925985],[]
