Address,ROI,Win Rate,Upside Capture,Downside Capture,Frequency,Sharpe Ratio,Sortino Ratio,Median Volume,Median PnL,Sum PnL
0x52a337a2da1db041ebda3015c327732a85636d40,-0.043001505,43.63636364,43.63636364,56.36363636,55,-0.179668608,-0.246060895,99509.92425,-27.77772,-13920.7735
0x533aa93c0dd28d01a7632b124e8c4f835766e22d,-0.352328242,11.29032258,11.29032258,88.70967742,62,-0.101504678,-0.541302951,4562.63283,-12.6643925,196.0186454
0x5481484616fd5bcc97dd5bbb4f58daadf34d099d,-0.197134312,23.80952381,23.80952381,74.6031746,126,-0.221676371,-0.262662482,6083.843521,-10.157018,-1103.106508
0x5525e6fbfb80fa70932c130ee1550d364fee264f,-0.182820984,29.66101695,29.66101695,70.33898305,118,-0.105531862,-0.146746001,2435.016275,-6.194789647,-787.6914026
0x563dcc40602e11a5034ee61c003f5a5ce9252bdf,-0.134569246,13.46153846,13.46153846,86.53846154,52,-0.248295221,-0.520181286,34112.83555,-43.52754,-6569.06598
0x57e8c8613779ae86a138c70a0b1175df9c459e77,-0.506767196,39.43661972,39.43661972,60.56338028,71,0.117771363,0.409944895,159782.03,-207.18726,-10361.78969
0x594ec0b979c01447d2844cf29073414ace2cab36,-0.504657278,33.46153846,33.46153846,66.53846154,260,-0.211064681,-0.265150812,2272.5219,-3.558258596,-2031.56699
0x5a1ae57dfb1fcbd87caa6587c115409fd71ef3e0,0.312609746,86.14457831,86.14457831,13.85542169,332,-0.055076695,-0.032520652,4697.195366,13.09694533,-3646.751715
0x5a59bbf52246bca0443e583968d661b739e69253,-0.266001797,26.31578947,26.31578947,73.68421053,76,-0.035378062,-0.054403227,89188.91088,-160.6496467,96063.42479
0x5aa7005236c4b4953d6cb9f849103bf1daf48053,0.264502746,58.49056604,58.49056604,37.73584906,53,0.124818465,0.252886815,70351.6814,107.6862,-2197.28994
0x5ab1317a541427c4d960c1a3565b0638d17845f4,0.09925011,53.90070922,53.90070922,46.09929078,141,-0.105197541,-0.088708619,1417.1105,0.56808,-1194.415524
0x5df9e050846b1abcb729f7e4ac4a9b3fd81198d2,-0.525048712,32.8125,32.8125,67.1875,128,0.129938151,0.272354709,3375.679705,-11.81156154,-1101.219531
0x5dfd0b12377bfcb67775d118056c0254d2f3dedd,-0.426793422,24,24,76,100,-0.065414379,-0.19215636,6572.50029,-24.732735,250.3058542
0x5e7270058456bfcbde96da2240672b6c526cc06b,0.125127737,58.10810811,58.10810811,39.18918919,74,0.065018389,0.079527656,39492.06809,23.92896,-581.744529
0x5f396b500812a04ca0d5d52330f339354da96015,-0.031910367,34.65346535,34.65346535,64.35643564,101,-0.159390669,-0.211498471,11689.4076,-2.3888,-827.75791
0x60a0eb006bde19c947d5f27d0aeaf87fc9a79bc8,-0.257235112,39.53488372,39.53488372,60.46511628,86,-0.188799809,-0.190959262,10156.44749,-10.96508022,-1525.447556
0x612ee800f2c07465fcdf1ef1f35ea4a249a49397,0.094448798,53.5483871,53.5483871,46.4516129,155,0.118286477,0.1647872,12669.95001,8.74704,1652.762287
0x61362ce1cdf4e8c131022b689a4c31d9435437da,-0.511163305,34.04255319,34.04255319,65.95744681,94,-0.096724997,-0.183403875,44636.25,-67.073706,-10378.01708
0x620675e061ab980edf7de559211e4af5dec41210,-0.170149412,39.50617284,39.50617284,60.49382716,81,0.102319744,0.358119056,24952.9304,-33.33804,2889.018089
0x672044e2abebaae1359737b7cc5a79071bbb1c0d,-0.313881175,40.15748031,40.15748031,59.84251969,254,-0.070922519,-0.120496878,2308.009173,-6.437727136,-2164.643808
0x6831071861cf14bd7903bd123a95fdc8f6073ef7,0.08570251,53.10344828,53.10344828,46.89655172,145,-0.096454399,-0.202689622,3174.413323,1.64152289,-1131.542669
0x6871979c76a1313949b2e928f75dc316e02bfe33,0.507002935,71.10091743,71.10091743,28.44036697,218,0.047775191,0.069184422,3461.86579,15.674465,347.7622957
0x68b18d388994336f341b4997360bb45f9f8701c9,0.708122336,67.14285714,67.14285714,32.85714286,140,0.47744252,1.663829031,1915.31087,11.768,3137.45762
0x692ae92c1ea5022a0ce9449a0ade6ed531d7b56a,0.197395659,63.33333333,63.33333333,36.66666667,60,-0.144219694,-0.145994363,36076.69343,73.5122494,-20713.75321
0x6e63546aacc0cf5f635c0533ecf96332047c2f99,-0.00645828,49.66641957,49.66641957,50.25945145,1349,-0.049245895,-0.065596551,3644.575,-0.105,-9560.743022
0x6e8ea3ad86ddd56b4336e13fe2ab1b13709c504f,0.043909679,52.4691358,52.4691358,46.91358025,162,0.016863619,0.017938752,9832.825735,1.787585,-1824.34267
0x6f591f6fa2666ac48b896ec4de1a755534a50388,-0.002748008,48.75,48.75,50,80,0.023014171,0.037600275,7761.60782,-0.20237,-130.952965
0x6f6a4fe5b944424c115dab4302aaf26f0c7db83f,0.48334224,64.43298969,64.43298969,35.395189,582,0.149283204,0.310635298,4990.611774,14.91676649,-15862.60043
0x6fc552825f6fd0daf34415eebc61f8f41f7e35ed,-0.717825185,6.18556701,6.18556701,93.81443299,485,0.023288656,0.300669337,1418.750252,-10.375,-1253.208072
0x7028d873036a05da416e81fbdc01ffb304f68ef6,-0.504417179,30.43478261,30.43478261,68.84057971,138,-0.074224971,-0.178810544,11938.71549,-33.3795496,-3082.864678
0x708f741b5fa76c9f4a70355207b4f0226ce265f3,-0.056221627,37.40458015,37.40458015,61.83206107,131,-0.131500914,-0.204536951,67687.96238,-11.30921,7128.432777
0x7095c4f586d7744c1f0a7609949dc843438e1f3c,-0.288022353,38.16793893,38.16793893,61.83206107,131,-0.308892532,-0.371637071,1264.435089,-3.02662,-2627.916315
0x70c193695cde1a3d1c15a01476041f0f0051bb02,-0.235771635,35.96491228,35.96491228,64.03508772,342,-0.032784097,-0.052609361,3271.14857,-7.260390021,-17.38748528
0x7145b384ba498f7e7226f6e0d8eb06c2b75bde99,-0.492278482,34.48275862,34.48275862,65.51724138,116,-0.008159544,-0.013448684,2511.779762,-1.55873959,-1735.332244
0x717eb2e842af77572ffbcf7cea7a019bacb6f609,-0.724715755,3.618421053,3.618421053,96.38157895,608,-0.184229763,-1.365662123,1475.37604,-10.66797508,-4755.395588
0x737c87b38f588151ac2233d48c68b93655f1998e,-0.082209342,39.70588235,39.70588235,60.29411765,68,-0.0272311,-0.030747166,4164.147763,-1.479707116,-770.981751
0x73c40b85ff2b6a8b03148fb175ee44a6551002c4,-0.286444224,41.14583333,41.14583333,58.85416667,192,0.251918919,1.369612601,26805.83318,-63.97372052,3433.126913
0x7451a26085e8e7d511705886e5bc03fa92c9b461,-0.081001355,44.28571429,44.28571429,55.71428571,70,0.059769524,0.160569443,22527.44077,-2.409535,1156.122016
0x74775da414349c9a0fd6ee635ac95a2e6cc8e2d0,-0.507667382,48.93617021,48.93617021,51.06382979,94,-0.024511695,-0.039880537,620972.7964,-137.1773696,-155159.6681
0x74a5b346f2cccf06e2127eb6680389e7d8953c80,-0.010567065,49.29577465,49.29577465,50.70422535,142,-0.073381366,-0.079689378,2074.627285,-0.052589429,-402.2319293
0x75c470eb926716707635a7e4bcb3893d77bf1713,-0.186387686,41.12149533,41.12149533,58.87850467,107,0.022936038,0.028224699,34551.9585,-20.9085,6897.518318
0x75edc33a78c438cfdafb0c6d52aa5630fe5cc9fa,-0.070609003,34.73945409,34.73945409,64.76426799,403,-0.137184601,-0.339807166,4097.7984,-2.71089,-462.32524
